allocation_workers_ladder,boundary_closed_profiles,colocation_count_ladder,equivalent_nodes,eta_source_required,family,hardware_group,legacy_limits_bypassed,measured_profiles,missing_profiles,node,node_bucket,notes,priority,profile_axis,profile_ladder,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,stable_gate,status,tier,workload_env,workload_key
"1,1,1,1",,"1,2,3,4",jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,"1,2,3,4",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. No resident load.,required,colocation_count,"1,2,3,4",q01_low_cpu_high_gpu,none,gpu,empty,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|empty|none,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5,measured,T0_core_curve,llm,gpu_llm_distilgpt2
"1,1,1",,"2,3,4",jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,"2,3,4",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Same workload resident load below saturation.,required,colocation_count,"2,3,4",q01_low_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|half_loaded|same_workload_half_capacity,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T0_core_curve,llm,gpu_llm_distilgpt2
"1,1,1,1",,"1,2,3,4",jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,"1,2,3,4",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Escalate until stable row or capacity boundary.,required,colocation_count,"1,2,3,4",q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|full_loaded|same_workload_to_capacity_boundary,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T0_core_curve,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Resident high-VRAM process, then add target.",required,colocation_count,1,q01_low_cpu_high_gpu,llm_or_memory_resident,gpu,high_vram_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|high_vram_resident|llm_or_memory_resident,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,,1,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Resident CPU pressure while measuring target marginal ETA.,required,colocation_count,1,q01_low_cpu_high_gpu,cpu_worker_resident,gpu,cpu_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|cpu_resident|cpu_worker_resident,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,pending_probe,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Pairwise mixed GPU co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_llm,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|mixed_colocation|cnn_plus_llm,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Pairwise CNN/RL co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|mixed_colocation|cnn_plus_hybrid_rl,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Pairwise LLM/RL co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|mixed_colocation|llm_plus_hybrid_rl,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. Triple mixed GPU co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|mixed_colocation|cnn_plus_llm_plus_hybrid_rl,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,llm,gpu_llm_distilgpt2
1,,1,jtl110gpu2,tqdm/progress,llm_small,gpu_3080ti_12gb_dual,true,,1,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Small LLM forward-pass row; larger LLM rows are separate capacity/staging rows. CPU resident pressure plus GPU target.,required,colocation_count,1,q01_low_cpu_high_gpu,cpu_plus_gpu_target,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_llm_distilgpt2|llm|mixed_colocation|cpu_plus_gpu_target,torch_llm_distilgpt2.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,pending_probe,T2_load_state,llm,gpu_llm_distilgpt2
"1,1,1,1,1,1,1",,"1,2,3,4,5,6,8",jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,"1,2,3,4,5,6,8",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. No resident load.,required,colocation_count,"1,2,3,4,5,6,8",q01_low_cpu_high_gpu,none,gpu,empty,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|empty|none,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5,measured,T0_core_curve,gpu_matmul,gpu_heavy_jax_matmul
"1,1,1,1",,"2,3,4,8",jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,"2,3,4,8",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Same workload resident load below saturation.,required,colocation_count,"2,3,4,8",q01_low_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|half_loaded|same_workload_half_capacity,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T0_core_curve,gpu_matmul,gpu_heavy_jax_matmul
"1,1,1,1,1,1,1",,"1,2,3,4,5,6,8",jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,"1,2,3,4,5,6,8",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Escalate until stable row or capacity boundary.,required,colocation_count,"1,2,3,4,5,6,8",q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|full_loaded|same_workload_to_capacity_boundary,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T0_core_curve,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"Pure GPU compute row without model/data-loader effects. Resident high-VRAM process, then add target.",required,colocation_count,1,q01_low_cpu_high_gpu,llm_or_memory_resident,gpu,high_vram_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|high_vram_resident|llm_or_memory_resident,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Resident CPU pressure while measuring target marginal ETA.,required,colocation_count,1,q01_low_cpu_high_gpu,cpu_worker_resident,gpu,cpu_resident,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|cpu_resident|cpu_worker_resident,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Pairwise mixed GPU co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_llm,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|mixed_colocation|cnn_plus_llm,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Pairwise CNN/RL co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|mixed_colocation|cnn_plus_hybrid_rl,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Pairwise LLM/RL co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|mixed_colocation|llm_plus_hybrid_rl,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. Triple mixed GPU co-location.,required,colocation_count,1,q01_low_cpu_high_gpu,cnn_plus_llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|mixed_colocation|cnn_plus_llm_plus_hybrid_rl,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
1,,1,jtl110gpu2,tqdm/progress,gpu_matmul,gpu_3080ti_12gb_dual,true,1,,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,Pure GPU compute row without model/data-loader effects. CPU resident pressure plus GPU target.,required,colocation_count,1,q01_low_cpu_high_gpu,cpu_plus_gpu_target,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_heavy_jax_matmul|gpu_matmul|mixed_colocation|cpu_plus_gpu_target,jax_matmul_progress,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; no_early_exit_for_residents,measured,T2_load_state,gpu_matmul,gpu_heavy_jax_matmul
"1,1,1,1,1,1",,"1,2,3,4,5,6",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,"1,2,3,4,5,6",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. No resident load.,required,colocation_count,"1,2,3,4,5,6",q11_high_cpu_high_gpu,none,gpu,empty,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|empty|none,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,measured,T0_core_curve,ant,hybrid_rl_resac_ant
"1,1,1",,"2,3,4",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,"2,3,4",,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Same workload resident load below saturation.,required,colocation_count,"2,3,4",q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,measured,T0_core_curve,ant,hybrid_rl_resac_ant
"1,1,1,1,1,1",,"1,2,3,4,5,6",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,"1,2,3,4,5",6,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Escalate until stable row or capacity boundary.,required,colocation_count,"1,2,3,4,5,6",q11_high_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|full_loaded|same_workload_to_capacity_boundary,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,partial_pending_probe,T0_core_curve,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"RE-SAC Ant train/eval cycle-average ETA. Resident high-VRAM process, then add target.",required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,llm_or_memory_resident,gpu,high_vram_resident,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|high_vram_resident|llm_or_memory_resident,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Resident CPU pressure while measuring target marginal ETA.,required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,cpu_worker_resident,gpu,cpu_resident,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|cpu_resident|cpu_worker_resident,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Pairwise mixed GPU co-location.,required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,cnn_plus_llm,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|mixed_colocation|cnn_plus_llm,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Pairwise CNN/RL co-location.,required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,cnn_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|mixed_colocation|cnn_plus_hybrid_rl,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Pairwise LLM/RL co-location.,required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|mixed_colocation|llm_plus_hybrid_rl,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
"1,1,1",,"1,2,3",jtl110gpu2,tqdm/progress,hybrid_rl,gpu_3080ti_12gb_dual,true,,"1,2,3",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,RE-SAC Ant train/eval cycle-average ETA. Triple mixed GPU co-location.,required,colocation_count,"1,2,3",q11_high_cpu_high_gpu,cnn_plus_llm_plus_hybrid_rl,gpu,mixed_colocation,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|mixed_colocation|cnn_plus_llm_plus_hybrid_rl,resac_env_real_venv.cmd.tpl,stable_windows>=5; min_rate_samples>=8; warmup_skip>=5; stable_cycle_units>=5; timeout_s>=2400,pending_probe,T2_load_state,ant,hybrid_rl_resac_ant
