"page","index","type","author","comment","target_text","rect"
"11","3","Text","Liang","问题同上","−𝑄⊤E[𝑆(𝑡) | 𝑄(𝑡) = 𝑄] || (29) || E[Δ𝑉(𝑡) | 𝑄(𝑡) = 𝑄] ≤𝐵+ 𝑄⊤E[𝐴(𝑡) | 𝑄(𝑡) = 𝑄]","(433.74, 121.53, 457.74, 145.53)"
"12","1","Highlight","Liang","","maps Theorem 1 to main_theorem_robust_candidate_maxweight_stability_from_ calibrated_fabric_with_second_moment_bound_approx_oracle, Corollary 1 to main_statewise_calibrated_fabric_robust_candidate_stability_with_second_ moment_bound_approx_oracle, the coordinate-scaled lower confidence bound result to main_diagonal_scaled_lcb_support_loss_l1, and the operational sandwich boundary to main_operational_capacity_sandwich. Claim boundary. The theorem applies when the","(68.79, 77.71, 544.26, 195.87)"
"12","2","Text","Liang","这种东西不要出现论文主文当中，要清理干净。太脏勒！","maps Theorem 1 to main_theorem_robust_candidate_maxweight_stability_from_ calibrated_fabric_with_second_moment_bound_approx_oracle, Corollary 1 to main_statewise_calibrated_fabric_robust_candidate_stability_with_second_ moment_bound_approx_oracle, the coordinate-scaled lower confidence bound result to main_diagonal_scaled_lcb_support_loss_l1, and the operational sandwich boundary to main_operational_capacity_sandwich. Claim boundary. The theorem applies when the","(569.24, 100.91, 593.24, 124.91)"
"12","3","Text","Liang","问题同上","semantics baselines, slack accounting, and oracle audits live under simulation/ and algorithm/experiments/. The deployed live interface now has two opt-in hooks selected","(584.62, 568.91, 608.62, 592.91)"
"12","4","Highlight","Liang","","or statewise candidate families with queue_vector, lower_service, penalty_units, and score_semantics=robust_maxweight_lower_service; service profiling, replay, policy-","(68.79, 523.6, 544.27, 561.33)"
"12","5","Highlight","Liang","","semantics baselines, slack accounting, and oracle audits live under simulation/ and algorithm/experiments/. The deployed live interface now has two opt-in hooks selected","(68.79, 565.11, 544.26, 602.84)"
"12","6","Highlight","Liang","","r global_theorem_maxweight_v1. T","(87.17, 627.39, 267.1, 644.36)"
"12","7","Highlight","Liang","","algorithm/","(68.79, 651.05, 137.97, 663.82)"
"12","8","Highlight","Liang","","scheduler.py;","(431.5, 648.14, 514.28, 665.11)"
"12","9","Highlight","Liang","",". Measured action slices","(92.07, 457.31, 223.76, 474.41)"
"12","10","Text","Liang","一看就是实验过程记录审计残留的表达！ 我的天哪。 请系统梳理： 请深度地、系统地、全局地、前后综合对比分析地扫描全文的数学符号、公式、证明过程、推导过程，包括数值实验结果，主文里面的内容和附录里面的内容，有没有重复的内容，有没有没有对齐、不一致的内容，请严格扫描、核验和修正。 请进一步polish论文的表达和用词，避免晦涩难懂、思维的跳跃（特别是证明部分），让科研小白、科研新手也能读懂，切忌用一些生僻词汇、简称或审计用词、实验过程为了方便记录的用词、拼凑的痕迹等等，请采用平铺直叙、比较接地气的叙述方式和叙事形式，采用主流文献当中的专业术语。特别是，清理偏内部记录式、晦涩或跳跃的词、缩写和简称。",". Measured action slices","(246.54, 453.38, 270.54, 477.38)"
"13","1","Text","Liang","这个表不行！ 一看就是残留物质！","1 || 13 || 14","(528.33, 104.18, 552.33, 128.18)"
"13","2","Text","Liang","你这是什么公式，我的天！ 你核对下，我怎么是看到两个量相减！ 相减之后得赋值吧！","(32) || 𝜃prof = 0.10, || 𝑘,","(443.56, 378.76, 467.56, 402.76)"
"14","1","Text","Liang","一是有残留； 二是不清晰，脏！你在传递什么信息！","theorem-facing oracle. || placement/co-location configuration for the || Conservative service row used in the drift","(511.64, 141.16, 535.64, 165.16)"
"20","1","Text","Liang","格式对齐！","(33) || 𝜖est = 𝛽= 𝛼1 = 0, || 𝛿= 0.078777710,","(423.6, 619.96, 447.6, 643.96)"
"22","1","Text","Liang","","1296.9301 || 14.2529 || 20.4221","(529.31, 149.02, 553.31, 173.02)"
"22","2","Highlight","Liang","","n node007-direct a","(344.39, 374.06, 438.68, 386.83)"
"22","3","Highlight","Liang","","(md/controlled_production_completion_gate_20260612.md)","(206.44, 710.42, 540.28, 727.39)"
"22","4","Text","Liang","残留得东西太多了！脏得很","(md/controlled_production_completion_gate_20260612.md)","(542.07, 726.65, 566.07, 750.65)"
"23","1","Highlight","Liang","","task ScheduleurmBench run (md/controlled_jtl110gpu_32_20260613.md) has controlled_32_task_completion_ready=true: it launched 32 theorem-admitted tasks on an","(68.79, 407.77, 544.27, 444.91)"
"23","2","Highlight","Liang","","history gate (md/organic_history_completion_gate_20260614.md) reports history_large_scale_organic_completion_ready=true: 4,058 strict theorem-","(68.79, 528.83, 544.26, 565.97)"
"23","3","Highlight","Liang","","(md/production_launch_completion_gate_20260612.md)","(72.77, 609.53, 381.51, 626.5)"
"23","4","Highlight","Liang","","live_oracle_traced_large_scale_completion_ready=false;","(68.79, 670.06, 408.91, 687.03)"
"23","5","Text","Liang","残留得痕迹太多了！我们是在写论文！","trace. For closed shadow-subset snapshots, the theorem bridge is usable with 𝛼0 = 𝛼1 = 0; CPU || the large-scale production evidence is scheduler-history completion, not a large launched live-oracle || live_oracle_traced_large_scale_completion_ready=false; this is intentional because","(465.49, 753.82, 489.49, 777.82)"
"24","1","Text","Liang","问题同上，乱七八糟！","completed rows; 35 domains; 13 || nodes; zero strict unadmitted || true","(514.91, 187.31, 538.91, 211.31)"
"24","2","Highlight","Liang","","25f0c744fb10fe8a9c3399f5072d5d16a81084082ab0264e92e9e7c8d08739c2.","(166.34, 627.35, 445.66, 644.32)"
"24","3","Text","Liang","这是啥！我的天","25f0c744fb10fe8a9c3399f5072d5d16a81084082ab0264e92e9e7c8d08739c2.","(479.89, 622.58, 503.89, 646.58)"
"24","4","Highlight","Liang","","s lake build Scheduleurm and lake env lean ScheduleurmUpload.lean","(147.3, 648.12, 543.21, 665.09)"
"24","5","Highlight","Liang","","both pass. The current reviewer supplement rerun copied ScheduleurmUpload.lean, lakefile.toml, lean-toolchain, the paper-theorem to Lean-theorem crosswalk, and a path-","(68.79, 668.88, 544.26, 706.62)"
"24","6","Text","Liang","啥东西这都是，用我之前的提示词系统梳理","both pass. The current reviewer supplement rerun copied ScheduleurmUpload.lean, lakefile.toml, lean-toolchain, the paper-theorem to Lean-theorem crosswalk, and a path-","(563.67, 709.64, 587.67, 733.64)"
"25","1","Highlight","Liang","","7. Related Work 7.1. Deep-learning and heterogeneous cluster schedulers","(67.35, 261.76, 384.81, 304.12)"
"25","2","Text","Liang","这些东西不应该放到文献综述或引言中么？乱糟糟！","7. Related Work 7.1. Deep-learning and heterogeneous cluster schedulers","(394.8, 258.98, 418.8, 282.98)"
"27","1","Highlight","Liang","","s ADMIT_THEOREM_TRACE or PROBE_REQUIRED.","(168.1, 587.39, 400.12, 604.36)"
"27","2","Text","Liang","清理干净，全文","s ADMIT_THEOREM_TRACE or PROBE_REQUIRED.","(553.2, 580.36, 577.2, 604.36)"
"28","1","Text","Liang","结论写得太潦草了，至少回顾总结你这个论文做了什么工作，提出什么模型和理论算法等。实验得到什么有意思的发现，结果和规律吧，比以往的优势等等。","9. Conclusion || promoting them from extension certificates to the default scheduler policy. || We formulated heterogeneous compute scheduling as a configuration-action stochastic process-","(183.38, 459.6, 207.38, 483.6)"
"31","1","Text","Liang","公式问题同上！","𝑡(𝑎) || 𝑄⊤𝜇L || 𝑎∈Acand","(458.95, 348.33, 482.95, 372.33)"
"31","2","Text","Liang","公式问题同上！"," 𝐴𝑖(𝑡)2 + 𝑆𝑖(𝑡)2  || ∑︁ || Δ𝑉(𝑡) ≤1","(430.14, 663.16, 454.14, 687.16)"
"32","1","Text","Liang","两个公式请给两个编号。有点乱！","E[𝐴(𝑡) | 𝑄(𝑡) = 𝑄] ≤𝜆, || (52) || 𝑡(𝑎𝑡)","(433.09, 165.05, 457.09, 189.05)"
"33","1","Text","Liang","表格问题同上，又乱又有残留！","Calibrated cover, bounded second || moment, approximate oracle, and || drift, and recurrence certificate.","(520.8, 127.42, 544.8, 151.42)"
"33","2","Text","Liang","表格问题同上，乱糟糟，不清楚！","Oracle audit comparing selected action against || theorem-facing candidate families. || Additive and queue-scaled approximate oracle","(535.85, 414.76, 559.85, 438.76)"
"34","1","Text","Liang","这里更加是破天荒的乱。trash内容！ 你自己要负责啊。","equivalence. || keep it separate from scalar service-unit || 7.30× makespan and 6.87×","(519.49, 236.07, 543.49, 260.07)"
"35","1","Text","Liang","内容乱糟糟，不清晰还有残留痕迹！","configurations, and a selected two-node || Do not claim every live slot has an emitted || full-stack superiority.","(498.33, 308.77, 522.33, 332.77)"
"36","1","Highlight","Liang","","algorithm/","(450.32, 143.99, 519.49, 156.75)"
"36","2","Highlight","Liang","","y ScheduleurmUpload.lean.","(123.31, 182.61, 268.86, 199.58)"
"36","3","Highlight","Liang","","scripts/reproduce_or_submission.sh","(329.67, 185.52, 543.21, 198.28)"
"36","4","Text","Liang","这里最后投稿要全部弄好么？","algorithm/","(265.53, 64.58, 289.53, 88.58)"
"36","5","Highlight","Liang","","package contains ScheduleurmUpload.lean, lakefile.toml, lean-toolchain, build.log, theorem_crosswalk.md, manifest.json, and checksums.","(68.79, 411.03, 544.26, 448.76)"
"36","6","Text","Liang","这里弄干净吧，找个模板看看人家是放哪些东西的。现在脏乱差！ 回头人家拿到你的东西是真的可以复现的。不是这样弄的。 还是要严肃认真对待。","reproduction_manifest_20260612.json","(541.09, 238.36, 565.09, 262.36)"
"36","7","Highlight","Liang","","reproduction_manifest_20260612.json","(301.51, 244.91, 522.38, 261.88)"
"36","8","Highlight","Liang","","–allow-launch","(143.2, 265.67, 225.99, 282.64)"
"36","9","Highlight","Liang","","safe_readonly, precomputed_live_run, requires_external_stack, or not_","(68.79, 286.43, 502.56, 303.41)"
"36","10","Text","Liang","参考文献核实是都正确的，需要再加一些文献。","package contains ScheduleurmUpload.lean, lakefile.toml, lean-toolchain, build.log, theorem_crosswalk.md, manifest.json, and checksums.","(164.07, 456.0, 188.07, 480.0)"
